researcher_name,obrss_name,correct_match,publication_channel,best_match_score,fuzz_ratio,fuzz_partial_ratio,fuzz_token_sort_ratio,kmpMatch,BM_badCharMatch,rabinKarpMatch
Artificial Intelligence Review SPEC ISS ,Artificial Intelligence Review,yes,Journal,0.156744375,86,100,87,1,1,1
IJCAI International Joint Conference on Artificial Intelligence ,Artificial Intelligence,no,Conference,-0.040506341,53,100,53,1,1,1
Personal and Ubiquitous Computing ,Ubiquitous Intelligence and Computing,no,Other,0.089965667,56,51,77,0,0,0
 International Conference on Mobile Data Management ,ICDE Workshop on Secure Data Management on Smartphones and Mobiles,no,Conference,0.009913697,44,50,52,0,0,0
Artificial Intelligence in Medicine ,Artificial Intelligence in Education,no,Other,0.149760541,86,86,73,0,0,0
GeoInformatica ,Geoinformatica,yes,Other,0.020068666,90,93,100,0,0,0
Proceedings of the  Conference in Games and Virtual Worlds for Serious Applications VSGAMES  ,iConference,no,Conference,-1,21,91,22,0,0,0
International Journal of Geographical Information Science ,Informatica,no,Journal,-1,29,82,29,0,0,0
 International Conference on Geographic Information Science ,International Conference on Geographic Information Science,yes,Conference,0.352819793,98,100,100,1,1,1
Cooperative Information Agents ,Agent Systems,no,Other,-1,27,46,42,0,0,0
Journal on Multimodal User Interfaces ,IEEE Symposium on 3D User Interfaces,no,Journal,0.031217125,59,61,60,0,0,0
Information Fusion ,Information Fusion,yes,Other,0.067780792,97,100,100,1,1,1
International Journal of Web Engineering and Technology ,WEB,no,Journal,-0.148950942,7,33,10,0,0,0
 International Conference on Geographic Information Science ,Informatica,no,Conference,-1,28,82,29,0,0,0
Mobile Information Systems ,Information Systems,no,Other,0.024233291,83,100,84,1,1,1
Journal of Low Power Electronics ,International Symposium on Low Power Electronics and Design,no,Journal,0.026529334,63,82,62,0,0,0
Educational Data Mining ,International Conference on Data Mining,no,Other,0.007394958,60,64,65,0,0,0
Mobile Information Systems ,Systems,no,Other,-0.031808084,41,100,42,1,1,1
Journal of Visual Languages and Computing ,Computer Languages,no,Journal,-0.097883791,43,61,58,0,0,0
Language Resources and Evaluation ,iConference,no,Other,-1,22,36,36,0,0,0
International Journal of Communication Networks and Distributed Systems ,Communication,no,Journal,-0.210720997,31,100,31,1,1,1
ACM Transactions on Knowledge Discovery from Data ,ACM Transactions on Knowledge Discovery from Data,yes,Journal,0.394379085,99,100,100,1,1,1
International Journal of Communication Networks and Distributed Systems ,International Journal of Communication Systems,no,Journal,0.181816252,78,87,79,0,0,0
International Journal of Ambient Computing and Intelligence ,Journal of Ambient Intelligence and Humanized Computing,no,Journal,0.367144408,56,63,79,0,0,0
 International Conference on Mobile Data Management ,International Conference on Mobile Data Management,yes,Conference,0.352819793,98,100,100,1,1,1
Journal of Complex Networks ,Journal of Networks,no,Journal,0.107918125,81,63,83,0,0,0
Interacting with Computers ,Engineering with Computers,no,Other,0.069897,79,81,85,0,0,0
ACM Transactions on Algorithms ,ACM Transactions on Algorithms,yes,Journal,0.196769666,98,100,100,1,1,1
Mobile Information Systems ,Mobile Information Systems,yes,Other,0.095424251,98,100,100,1,1,1
International Journal on Artificial Intelligence Tools ,International Journal on Artificial Intelligence Tools,yes,Journal,0.441903003,99,100,100,1,1,1
Knowledge and Information Systems ,Systems,no,Other,-0.060205999,34,100,35,1,1,1
Journal of Intelligent Information Systems ,Journal of Intelligent Information Systems,yes,Journal,0.313684543,99,100,100,1,1,1
International Journal of Computational Intelligence and Applications ,Applications,no,Journal,-0.169019608,30,100,30,1,1,1
Proceedings of the Workshop on Algorithm Engineering and ExperimentsJanuaryJanuary ,Algorithm Engineering and Experimentation,yes,Conference,-0.021019294,61,93,63,0,0,0
Software Practice and Experience ,Software Process Improvement and Practice,no,Other,0.073127334,59,58,71,0,0,0
Knowledge and Information Systems ,Information Systems,no,Other,0,72,100,73,1,1,1
Virtual Reality ,Virtual Reality,yes,Other,0.040137333,97,100,100,1,1,1
International Journal of Communication Networks and Distributed Systems ,Journal of Networks,no,Journal,-0.022528207,42,68,42,0,0,0
Proceedings IEEE International Conference on Data Mining ICDM ,iConference,no,Conference,-1,30,91,28,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,Design Automation Conference,no,Journal,-0.104507956,57,79,48,0,0,0
ARCS Workshops ARCS  ,Journal of Systems Architecture,no,Workshop,-1,23,29,36,0,0,0
Telecommunication Systems ,"Modeling, Analysis, and Simulation On Computer and Telecommunication  Systems",no,Other,-0.053581834,49,96,51,0,0,0
